date;Time (UTC);Latitude;Longitude;Region Name;Depth;Mw;Strike1;Dip1;Rake1;Strike2;Dip2;Rake2;Mo;DC;VR;Computed by;Method
20240127;05:19:19;37.97;27.14;x;11;5.0;96;41;-95;283;48;-85;4.31E+16;71;0.94;Yavuz Gunes;SC3
20240125;13:04:06;38.15;38.43;x;10;5.0;215;20;-25;329;81;-108;4.07E+16;95;0.88;Yavuz Gunes;SC3
20240119;22:27:35;38.83;37.47;x;10;4.Şub;277;70;14;182;76;159;2.54E+15;77;0.74;Yavuz Gunes;SC3
20240108;13:19:12;38.31;38.77;x;10;4.Mar;318;75;166;51;76;14;3.22E+15;99;0.73;Yavuz Gunes;SC3
20231231;17:06:04;37.34;44.10;x;10;4.Haz;134;85;-133;39;43;-6;1.14E+16;66;0.81;Yavuz Gunes;SC3
20231231;16:37:55;37.38;44.00;x;10;4.Nis;312;55;179;43;89;34;5.43E+15;47;0.81;Yavuz Gunes;SC3
20231227;13:04:12;41.05;33.81;x;10;4.May;116;88;170;206;80;1;7.50E+15;62;0.85;Yavuz Gunes;SC3
20231217;20:53:52;40.73;29.Eyl;x;14;4.0;179;73;-73;312;23;-134;8.72E+14;97;0.81;Yavuz Gunes;SC3
20231204;07:42:20;40.40;28.85;x;6;5.0;273;54;-119;136;45;-56;3.47E+16;14;0.93;Dogan Kalafat;ISOLA
20231201;00:18:50;38.40;37.48;x;10;4.Haz;186;53;-107;34;40;-68;9.47E+15;25;0.92;Yavuz Gunes;SC3
20231123;14:46:08;38.14;38.56;x;10;5.Şub;141;75;-171;49;81;-14;7.90E+16;94;0.95;Yavuz Gunes;SC3
20231120;07:36:05;38.23;38.76;x;10;4.May;315;74;177;45;87;15;7.97E+15;28;0.75;Yavuz Gunes;SC3
20231113;05:28:28;37.72;29.93;x;10;4.Şub;26;54;-125;256;48;-50;2.84E+15;84;0.85;Yavuz Gunes;SC3
20231109;02:32:13;36.62;36.67;x;14;4.Haz;198;54;-51;324;50;-131;1.08E+16;62;0.94;Yavuz Gunes;SC3
20231108;12:39:42;37.08;30.23;x;102;4.Nis;59;56;48;297;51;135;4.77E+15;85;0.81;Yavuz Gunes;SC3
20231107;20:05:48;40.47;27.55;x;15;3.Eyl;106;83;-176;15;86;-6;8.97E+14;57;0.85;Yavuz Gunes;SC3
20231018;12:55:24;38.20;27.69;x;10;4.Şub;93;42;-88;272;48;-90;2.55E+15;75;0.85;Yavuz Gunes;SC3
20231014;14:07:09;40.87;31.74;x;10;4.Nis;279;73;-174;187;84;-16;5.18E+15;50;0.90;Yavuz Gunes;SC3
20231012;11:04:02;38.88;43.58;x;14;4.May;295;74;166;29;76;15;8.08E+15;62;0.82;Yavuz Gunes;SC3
20230923;08:22:22;37.94;36.41;x;10;4.May;54;53;-88;231;36;-92;6.33E+15;66;0.88;Yavuz Gunes;SC3
20230904;05:26:08;37.97;27.13;x;12;4.Mar;319;72;-22;56;68;-160;3.67E+15;86;0.78;Yavuz Gunes;SC3
20230829;04:58:15;38.90;32.96;x;13;4.Ağu;298;88;175;28;85;1;1.74E+16;76;0.87;Yavuz Gunes;SC3
20230824;05:35:24;38.27;38.19;x;10;4.Ağu;343;79;-171;251;81;-10;1.65E+16;80;0.90;Yavuz Gunes;SC3
20230822;10:17:34;38.43;36.70;x;14;4.Tem;273;76;140;14;51;17;1.50E+16;84;0.82;Yavuz Gunes;SC3
20230816;14:36:59;37.66;35.40;x;10;4.May;194;51;-124;62;49;-54;6.16E+15;65;0.70;Yavuz Gunes;SC3
20230812;13:39:16;38.31;38.21;x;10;4.Haz;342;83;-159;250;69;-7;8.46E+15;94;0.82;Yavuz Gunes;SC3
20230810;17:48:01;38.30;38.22;x;10;5.Şub;339;67;-142;233;55;-27;8.23E+16;85;0.93;Yavuz Gunes;SC3
20230810;13:16:04;35.70;31.40;x;24;4.Haz;104;74;82;311;16;115;9.34E+15;70;0.84;Yavuz Gunes;SC3
20230801;15:06:51;38.13;32.64;x;10;4.Eyl;190;47;-86;5;42;-93;3.14E+16;88;0.94;Yavuz Gunes;SC3
20230725;05:44:48;37.60;35.91;x;10;5.Nis;161;76;177;251;88;14;1.52E+17;88;0.94;Yavuz Gunes;SC3
20230618;15:36:28;38.21;38.61;x;10;4.May;94;13;-82;264;78;-91;8.14E+15;86;0.73;Yavuz Gunes;SC3
20230605;16:40:48;38.00;36.57;x;10;4.Mar;27;84;-106;280;17;-18;3.71E+15;67;0.77;Yavuz Gunes;SC3
20230521;12:46:12;37.91;36.25;x;10;4.Eyl;233;59;-76;18;33;-111;3.00E+16;81;0.86;Yavuz Gunes;SC3
20230518;18:58:51;34.98;24.84;x;10;4.Eyl;92;43;-87;269;46;-92;3.25E+16;92;0.94;Yavuz Gunes;SC3
20230512;08:33:20;37.87;36.27;x;7;4.Nis;20;40;-110;226;53;-74;5.35E+15;98;0.63;Remzi Polat;ISOLA
20230508;20:20:34;38.11;38.35;x;10;4.May;333;86;157;64;67;4;5.93E+15;93;0.83;Yavuz Gunes;SC3
20230507;08:36:10;36.44;36.29;x;10;5.0;176;59;-173;82;84;-30;4.32E+16;87;0.94;Yavuz Gunes;SC3
20230503;17:16:38;38.08;36.58;x;10;4.Ağu;178;51;-129;51;53;-51;1.93E+16;75;0.93;Yavuz Gunes;SC3
20230429;01:55:47;38.02;36.45;x;10;4.Haz;349;86;-166;258;76;-3;9.75E+15;64;0.97;Yavuz Gunes;SC3
20230426;20:00:36;36.35;26.36;x;115;5.Oca;332;64;-159;233;71;-27;5.42E+16;99;0.93;Yavuz Gunes;SC3
20230426;15:31:05;37.95;36.43;x;10;4.Mar;347;76;-168;254;78;-14;3.85E+15;89;0.86;Yavuz Gunes;SC3
20230419;22:44:07;38.46;39.19;x;10;4.May;335;69;167;69;77;20;7.65E+15;99;0.69;Yavuz Gunes;SC3
20230407;08:29:36;39.03;40.43;x;10;4.May;317;82;-176;227;86;-7;6.10E+15;59;0.94;Yavuz Gunes;SC3
20230329;16:47:01;37.96;36.29;x;10;4.May;233;59;-41;347;54;-142;7.26E+15;71;0.94;Yavuz Gunes;SC3
20230327;14:35:16;38.05;36.54;x;10;4.Nis;144;80;-159;21;70;-9;5.05E+15;98;0.72;Yavuz Gunes;SC3
20230324;03:17:02;38.40;44.85;x;14;5.May;53;47;79;249;43;101;2.27E+17;66;0.94;Yavuz Gunes;SC3
20230324;00:39:53;38.02;36.40;x;10;4.Nis;256;50;-38;13;61;-133;4.80E+15;84;0.85;Yavuz Gunes;SC3
20230323;09:19:53;38.02;36.45;x;10;5.Şub;7;66;-145;261;58;-28;6.70E+16;84;0.87;Yavuz Gunes;SC3
20230322;19:43:24;38.18;38.07;x;10;4.Mar;164;86;160;255;70;3;3.43E+15;99;0.92;Yavuz Gunes;SC3
20230318;05:14:29;38.01;36.45;x;10;4.Nis;213;43;-81;22;47;-97;4.41E+15;100;0.89;Yavuz Gunes;SC3
20230316;19:59:13;36.36;34.37;x;10;4.Nis;285;77;-6;16;83;-167;4.62E+15;80;0.82;Yavuz Gunes;SC3
20230316;10:55:05;40.80;31.55;x;10;4.Tem;299;77;-170;206;80;-12;1.18E+16;50;0.92;Yavuz Gunes;SC3
